Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,04/01/21,05:36:03,8.3,23.2,7.67,798,15,0
1,04/01/21,05:37:03,8.3,23.3,7.67,798,16,0
2,04/01/21,05:38:03,8.3,23.3,7.67,798,15,0
3,04/01/21,05:39:03,8.3,23.4,7.67,797,16,0
4,04/01/21,05:40:03,8.3,23.4,7.67,798,15,0
5,04/01/21,05:41:03,8.3,23.4,7.67,798,16,0
6,04/01/21,05:42:03,8.3,23.4,7.67,798,16,0
7,04/01/21,05:43:03,8.3,23.4,7.67,798,16,0
8,04/01/21,05:44:03,8.3,23.4,7.67,798,16,0
9,04/01/21,05:45:03,8.3,23.2,7.67,797,16,0
10,04/01/21,05:46:03,8.3,23,7.67,797,16,0
11,04/01/21,05:47:03,8.3,23,7.67,795,15,0
12,04/01/21,05:48:03,8.3,23.2,7.67,795,16,0
13,04/01/21,05:49:03,8.3,23.3,7.67,797,16,0
14,04/01/21,05:50:03,8.3,23.3,7.67,798,15,0
15,04/01/21,05:51:03,8.3,23.3,7.67,798,15,0
16,04/01/21,05:52:03,8.3,23.4,7.67,798,15,0
17,04/01/21,05:53:03,8.3,23.4,7.67,798,16,0
18,04/01/21,05:54:03,8.3,23.4,7.67,798,15,0
19,04/01/21,05:55:04,8.3,23.4,7.67,798,15,0
20,04/01/21,05:56:03,8.3,23.4,7.67,798,15,0
21,04/01/21,05:57:03,8.3,23.4,7.67,798,15,0
22,04/01/21,05:58:04,8.3,23.1,7.67,797,15,0
23,04/01/21,05:59:03,8.3,23,7.67,795,16,0
24,04/01/21,06:00:03,8.3,23.1,7.67,795,16,0
25,04/01/21,06:01:03,8.3,23.2,7.67,797,16,0
26,04/01/21,06:02:04,8.3,23.3,7.67,798,16,0
27,04/01/21,06:03:03,8.3,23.3,7.67,798,16,0
28,04/01/21,06:04:03,8.3,23.4,7.67,798,15,0
29,04/01/21,06:05:04,8.3,23.4,7.67,797,15,0
30,04/01/21,06:06:04,8.3,23.4,7.67,798,16,0
31,04/01/21,06:07:03,8.3,23.4,7.67,798,15,0
32,04/01/21,06:08:03,8.3,23.4,7.67,798,15,0
33,04/01/21,06:09:04,8.3,23.4,7.67,798,15,0
34,04/01/21,06:10:04,8.3,23.4,7.67,797,16,0
35,04/01/21,06:11:03,8.3,23.2,7.67,797,15,0
36,04/01/21,06:12:04,8.3,23,7.67,797,16,0
37,04/01/21,06:13:04,8.3,22.9,7.67,795,15,0
38,04/01/21,06:14:04,8.3,23.1,7.67,795,15,0
39,04/01/21,06:15:04,8.3,23.2,7.67,797,16,0
40,04/01/21,06:16:04,8.3,23.3,7.67,798,16,0
41,04/01/21,06:17:04,8.3,23.3,7.67,798,15,0
42,04/01/21,06:18:03,8.3,23.4,7.67,798,15,0
43,04/01/21,06:19:04,8.3,23.4,7.67,798,15,0
44,04/01/21,06:20:04,8.3,23.4,7.67,798,15,0
45,04/01/21,06:21:04,8.3,23.4,7.67,798,15,0
46,04/01/21,06:22:04,8.3,23.4,7.67,800,15,0
47,04/01/21,06:23:04,8.3,23.4,7.67,798,15,0
48,04/01/21,06:24:04,8.3,23.1,7.67,797,15,0
49,04/01/21,06:25:04,8.3,23,7.67,795,15,0
50,04/01/21,06:26:04,8.3,23,7.67,795,15,0
51,04/01/21,06:27:04,8.3,23.2,7.67,797,16,0
52,04/01/21,06:28:04,8.3,23.3,7.67,798,15,0
53,04/01/21,06:29:04,8.3,23.3,7.67,798,15,0
54,04/01/21,06:30:04,8.3,23.4,7.67,798,16,0
55,04/01/21,06:31:04,8.3,23.4,7.67,798,15,0
56,04/01/21,06:32:04,8.3,23.4,7.67,798,16,0
57,04/01/21,06:33:04,8.3,23.4,7.67,797,15,0
58,04/01/21,06:34:04,8.3,23.4,7.67,798,15,0
59,04/01/21,06:35:04,8.3,23.4,7.64,798,15,0
60,04/01/21,06:36:04,8.3,23.5,7.64,798,16,0
61,04/01/21,06:37:04,8.3,23.3,7.64,798,15,0
62,04/01/21,06:38:04,8.3,23.1,7.64,797,15,0
63,04/01/21,06:39:04,8.3,23,7.64,795,16,0
64,04/01/21,06:40:04,8.3,23.1,7.67,797,15,0
65,04/01/21,06:41:04,8.3,23.2,7.67,797,16,0
66,04/01/21,06:42:04,8.3,23.3,7.67,797,15,0
67,04/01/21,06:43:04,8.3,23.3,7.67,798,15,0
68,04/01/21,06:44:04,8.3,23.4,7.67,798,15,0
69,04/01/21,06:45:04,8.3,23.4,7.64,798,15,0
70,04/01/21,06:46:04,8.3,23.4,7.64,797,16,0
71,04/01/21,06:47:04,8.3,23.4,7.64,798,16,0
72,04/01/21,06:48:04,8.3,23.4,7.64,798,16,0
