Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,09/05/21,17:14:33,9.1,23.3,7.7,808,14,0
1,09/05/21,17:15:34,9.1,23.4,7.7,808,15,0
2,09/05/21,17:16:34,9.1,23.4,7.7,808,15,0
3,09/05/21,17:17:34,9.1,23.4,7.7,808,14,0
4,09/05/21,17:18:33,9.1,23.4,7.7,808,14,0
5,09/05/21,17:19:34,9.1,23.4,7.7,808,14,0
6,09/05/21,17:20:34,9.1,23.5,7.7,808,15,0
7,09/05/21,17:21:34,9.1,23.5,7.7,808,14,0
8,09/05/21,17:22:34,9.1,23.3,7.7,808,14,0
9,09/05/21,17:23:34,9.1,23.1,7.7,808,14,0
10,09/05/21,17:24:34,9.1,23,7.7,809,15,0
11,09/05/21,17:25:34,9.1,23,7.7,807,14,0
12,09/05/21,17:26:34,9.1,23.2,7.7,808,14,0
13,09/05/21,17:27:34,9,23.3,7.7,808,15,0
14,09/05/21,17:28:34,8.9,23.3,7.7,808,15,0
15,09/05/21,17:29:34,8.9,23.4,7.7,808,14,0
16,09/05/21,17:30:34,8.9,23.4,7.7,808,14,0
17,09/05/21,17:31:34,8.9,23.4,7.7,808,14,0
18,09/05/21,17:32:34,8.9,23.5,7.7,808,14,0
19,09/05/21,17:33:34,8.9,23.5,7.7,809,15,0
20,09/05/21,17:34:34,8.9,23.5,7.7,808,15,0
21,09/05/21,17:35:34,8.9,23.4,7.7,808,15,0
22,09/05/21,17:36:34,8.9,23.2,7.7,807,15,0
23,09/05/21,17:37:34,8.9,23,7.7,805,14,0
24,09/05/21,17:38:34,8.9,23,7.7,805,14,0
25,09/05/21,17:39:34,9,23.2,7.7,804,15,0
26,09/05/21,17:40:34,9,23.3,7.7,805,14,0
27,09/05/21,17:41:34,9,23.3,7.7,805,15,0
28,09/05/21,17:42:34,9.1,23.4,7.7,807,15,0
29,09/05/21,17:43:34,9,23.4,7.7,806,14,0
30,09/05/21,17:44:34,9,23.4,7.7,807,14,0
31,09/05/21,17:45:34,9,23.4,7.7,807,14,0
32,09/05/21,17:46:34,9.1,23.5,7.7,807,14,0
33,09/05/21,17:47:34,9,23.5,7.7,807,15,0
34,09/05/21,17:48:34,9.1,23.5,7.7,807,14,0
35,09/05/21,17:49:34,9.1,23.3,7.7,807,14,0
36,09/05/21,17:50:34,9,23.1,7.7,805,14,0
37,09/05/21,17:51:34,9.1,23,7.7,805,14,0
38,09/05/21,17:52:34,9.1,23,7.7,804,15,0
39,09/05/21,17:53:34,9,23.2,7.7,804,15,0
40,09/05/21,17:54:34,9.1,23.3,7.7,806,15,0
41,09/05/21,17:55:34,9.1,23.3,7.7,805,15,0
42,09/05/21,17:56:34,9,23.4,7.7,807,15,0
43,09/05/21,17:57:35,9.1,23.4,7.7,807,15,0
44,09/05/21,17:58:34,9.1,23.4,7.7,807,15,0
45,09/05/21,17:59:34,9.1,23.4,7.7,807,14,0
46,09/05/21,18:00:35,9.1,23.5,7.7,807,15,0
47,09/05/21,18:01:35,9.1,23.5,7.7,807,14,0
48,09/05/21,18:02:34,9.1,23.4,7.7,807,14,0
49,09/05/21,18:03:35,9.1,23.2,7.7,807,15,0
50,09/05/21,18:04:35,9.1,23.1,7.7,806,14,0
51,09/05/21,18:05:35,9.1,23,7.7,804,14,0
52,09/05/21,18:06:34,9.1,23.1,7.7,804,14,0
53,09/05/21,18:07:35,9.1,23.3,7.7,805,14,0
54,09/05/21,18:08:35,9.1,23.3,7.7,807,15,0
55,09/05/21,18:09:35,9.1,23.4,7.7,807,14,0
56,09/05/21,18:10:35,9.1,23.4,7.7,807,14,0
57,09/05/21,18:11:35,9.1,23.4,7.7,807,15,0
58,09/05/21,18:12:35,9.1,23.4,7.7,807,14,0
59,09/05/21,18:13:35,9.1,23.5,7.7,807,15,0
60,09/05/21,18:14:35,9.1,23.5,7.7,807,15,0
61,09/05/21,18:15:35,9.1,23.5,7.7,807,15,0
62,09/05/21,18:16:35,9.1,23.3,7.7,807,14,0
63,09/05/21,18:17:35,9.1,23.1,7.7,805,14,0
64,09/05/21,18:18:35,9,23,7.7,805,14,0
65,09/05/21,18:19:35,9.1,23,7.7,804,15,0
66,09/05/21,18:20:35,9.1,23.2,7.7,805,15,0
67,09/05/21,18:21:35,9.1,23.3,7.7,807,15,0
68,09/05/21,18:22:35,9.1,23.3,7.7,805,14,0
69,09/05/21,18:23:35,9.1,23.4,7.7,807,14,0
70,09/05/21,18:24:35,9.1,23.4,7.7,805,14,0
71,09/05/21,18:25:35,9.1,23.4,7.7,807,14,0
