Row,Date,Time,Device,State
0,12/09/21,13:01:53,Cooling,1
1,12/09/21,13:02:39,Effulent Coil,1
2,12/09/21,13:03:07,Heat Ex Comp,1
3,12/09/21,13:07:04,Heat Ex Comp,0
4,12/09/21,13:11:15,Effulent Coil,0
5,12/09/21,13:17:31,Heat Ex Comp,1
6,12/09/21,13:17:31,Cooling,1
7,12/09/21,13:20:54,Conductivity Pump,1
8,12/09/21,13:21:04,Conductivity Pump,0
9,12/09/21,13:21:13,Heat Ex Comp,0
10,12/09/21,13:23:04,Conductivity Pump,1
11,12/09/21,13:23:14,Conductivity Pump,0
12,12/09/21,13:31:50,Heat Ex Comp,1
13,12/09/21,13:31:50,Cooling,1
14,12/09/21,13:35:38,Heat Ex Comp,0
15,12/09/21,13:46:28,Heat Ex Comp,1
16,12/09/21,13:46:28,Cooling,1
17,12/09/21,13:50:10,Heat Ex Comp,0
18,12/09/21,14:00:52,Heat Ex Comp,1
19,12/09/21,14:00:52,Cooling,1
20,12/09/21,14:04:21,Heat Ex Comp,0
21,12/09/21,14:13:48,Cooling,1
22,12/09/21,14:14:21,Heat Ex Comp,1
23,12/09/21,14:18:08,Heat Ex Comp,0
24,12/09/21,14:29:53,Heat Ex Comp,1
25,12/09/21,14:29:53,Cooling,1
26,12/09/21,14:33:59,Heat Ex Comp,0
27,12/09/21,14:42:39,Effulent Coil,1
28,12/09/21,14:44:01,Heat Ex Comp,1
29,12/09/21,14:44:01,Cooling,1
30,12/09/21,14:47:43,Heat Ex Comp,0
31,12/09/21,14:51:15,Effulent Coil,0
32,12/09/21,15:01:40,Heat Ex Comp,1
33,12/09/21,15:01:40,Cooling,1
34,12/09/21,15:05:02,Heat Ex Comp,0
35,12/09/21,15:17:29,Heat Ex Comp,1
36,12/09/21,15:17:29,Cooling,1
37,12/09/21,15:20:54,Heat Ex Comp,0
38,12/09/21,15:32:25,Heat Ex Comp,1
39,12/09/21,15:32:25,Cooling,1
40,12/09/21,15:35:51,Heat Ex Comp,0
41,12/09/21,15:48:00,Heat Ex Comp,1
42,12/09/21,15:48:00,Cooling,1
43,12/09/21,15:51:20,Heat Ex Comp,0
44,12/09/21,16:01:32,pH Pump,1
45,12/09/21,16:01:51,pH Pump,0
46,12/09/21,16:03:24,Heat Ex Comp,1
47,12/09/21,16:03:24,Cooling,1
48,12/09/21,16:05:27,pH Pump,1
49,12/09/21,16:05:47,pH Pump,0
50,12/09/21,16:06:45,Heat Ex Comp,0
51,12/09/21,16:09:27,pH Pump,1
52,12/09/21,16:09:47,pH Pump,0
53,12/09/21,16:13:27,pH Pump,1
54,12/09/21,16:13:47,pH Pump,0
55,12/09/21,16:17:28,pH Pump,1
56,12/09/21,16:17:30,pH Pump,0
57,12/09/21,16:18:20,Heat Ex Comp,1
58,12/09/21,16:18:20,Cooling,1
59,12/09/21,16:21:42,Heat Ex Comp,0
60,12/09/21,16:22:40,Effulent Coil,1
61,12/09/21,16:31:16,Effulent Coil,0
62,12/09/21,16:34:25,Heat Ex Comp,1
63,12/09/21,16:34:25,Cooling,1
64,12/09/21,16:37:50,Heat Ex Comp,0
65,12/09/21,16:49:04,Heat Ex Comp,1
66,12/09/21,16:49:04,Cooling,1
67,12/09/21,16:52:27,Heat Ex Comp,0
68,12/09/21,17:03:48,Heat Ex Comp,1
69,12/09/21,17:03:48,Cooling,1
70,12/09/21,17:07:07,Heat Ex Comp,0
71,12/09/21,17:17:48,Heat Ex Comp,1
72,12/09/21,17:17:48,Cooling,1
73,12/09/21,17:21:10,Heat Ex Comp,0
74,12/09/21,17:34:32,Heat Ex Comp,1
75,12/09/21,17:34:32,Cooling,1
76,12/09/21,17:37:57,Heat Ex Comp,0
77,12/09/21,17:48:41,Heat Ex Comp,1
78,12/09/21,17:48:41,Cooling,1
79,12/09/21,17:52:04,Heat Ex Comp,0
80,12/09/21,18:02:40,Effulent Coil,1
81,12/09/21,18:05:05,Heat Ex Comp,1
82,12/09/21,18:05:05,Cooling,1
83,12/09/21,18:08:27,Heat Ex Comp,0
84,12/09/21,18:11:16,Effulent Coil,0
85,12/09/21,18:18:50,Heat Ex Comp,1
86,12/09/21,18:18:50,Cooling,1
87,12/09/21,18:22:18,Heat Ex Comp,0
88,12/09/21,18:22:37,Conductivity Pump,1
89,12/09/21,18:22:47,Conductivity Pump,0
90,12/09/21,18:34:16,Heat Ex Comp,1
91,12/09/21,18:34:16,Cooling,1
92,12/09/21,18:37:32,Heat Ex Comp,0
93,12/09/21,18:49:15,Heat Ex Comp,1
94,12/09/21,18:49:15,Cooling,1
95,12/09/21,18:52:42,Heat Ex Comp,0
96,12/09/21,19:06:08,Heat Ex Comp,1
97,12/09/21,19:06:08,Cooling,1
98,12/09/21,19:09:23,Heat Ex Comp,0
99,12/09/21,19:19:58,Heat Ex Comp,1
100,12/09/21,19:19:58,Cooling,1
101,12/09/21,19:23:13,Heat Ex Comp,0
102,12/09/21,19:36:16,Heat Ex Comp,1
103,12/09/21,19:36:16,Cooling,1
104,12/09/21,19:39:27,Heat Ex Comp,0
105,12/09/21,19:42:40,Effulent Coil,1
106,12/09/21,19:51:16,Effulent Coil,0
107,12/09/21,19:52:55,Heat Ex Comp,1
108,12/09/21,19:52:55,Cooling,1
109,12/09/21,19:56:18,Heat Ex Comp,0
110,12/09/21,20:08:45,Heat Ex Comp,1
111,12/09/21,20:08:45,Cooling,1
112,12/09/21,20:11:59,Heat Ex Comp,0
113,12/09/21,20:24:17,Heat Ex Comp,1
114,12/09/21,20:24:17,Cooling,1
115,12/09/21,20:27:46,Heat Ex Comp,0
116,12/09/21,20:38:43,Heat Ex Comp,1
117,12/09/21,20:38:43,Cooling,1
118,12/09/21,20:42:02,Heat Ex Comp,0
119,12/09/21,20:53:52,Heat Ex Comp,1
120,12/09/21,20:53:52,Cooling,1
121,12/09/21,20:57:17,Heat Ex Comp,0
122,12/09/21,21:08:43,Heat Ex Comp,1
123,12/09/21,21:08:43,Cooling,1
124,12/09/21,21:12:02,Heat Ex Comp,0
125,12/09/21,21:22:40,Effulent Coil,1
126,12/09/21,21:24:39,Heat Ex Comp,1
127,12/09/21,21:24:39,Cooling,1
128,12/09/21,21:27:53,Heat Ex Comp,0
129,12/09/21,21:31:16,Effulent Coil,0
130,12/09/21,21:38:37,Heat Ex Comp,1
131,12/09/21,21:38:37,Cooling,1
132,12/09/21,21:41:44,Conductivity Pump,1
133,12/09/21,21:41:54,Conductivity Pump,0
134,12/09/21,21:42:02,Heat Ex Comp,0
135,12/09/21,21:43:34,Conductivity Pump,1
136,12/09/21,21:43:43,Conductivity Pump,0
137,12/09/21,21:54:37,Heat Ex Comp,1
138,12/09/21,21:54:37,Cooling,1
139,12/09/21,21:57:58,Heat Ex Comp,0
140,12/09/21,22:08:09,Heat Ex Comp,1
141,12/09/21,22:08:09,Cooling,1
142,12/09/21,22:11:31,Heat Ex Comp,0
143,12/09/21,22:22:35,Heat Ex Comp,1
144,12/09/21,22:22:35,Cooling,1
145,12/09/21,22:25:47,Heat Ex Comp,0
146,12/09/21,22:36:24,Heat Ex Comp,1
147,12/09/21,22:36:24,Cooling,1
148,12/09/21,22:39:43,Heat Ex Comp,0
149,12/09/21,22:52:20,Heat Ex Comp,1
150,12/09/21,22:52:20,Cooling,1
151,12/09/21,22:55:37,Heat Ex Comp,0
152,12/09/21,23:02:40,Effulent Coil,1
153,12/09/21,23:05:45,Heat Ex Comp,1
154,12/09/21,23:05:45,Cooling,1
155,12/09/21,23:09:08,Heat Ex Comp,0
156,12/09/21,23:11:16,Effulent Coil,0
157,12/09/21,23:21:01,Heat Ex Comp,1
158,12/09/21,23:21:01,Cooling,1
159,12/09/21,23:24:21,Heat Ex Comp,0
160,12/09/21,23:34:59,Heat Ex Comp,1
161,12/09/21,23:34:59,Cooling,1
162,12/09/21,23:38:26,Heat Ex Comp,0
163,12/09/21,23:50:16,Heat Ex Comp,1
164,12/09/21,23:50:16,Cooling,1
165,12/09/21,23:53:37,Heat Ex Comp,0
166,12/10/21,00:04:22,Heat Ex Comp,1
167,12/10/21,00:04:22,Cooling,1
168,12/10/21,00:07:48,Heat Ex Comp,0
169,12/10/21,00:20:09,Heat Ex Comp,1
170,12/10/21,00:20:09,Cooling,1
171,12/10/21,00:23:28,Heat Ex Comp,0
172,12/10/21,00:34:30,Heat Ex Comp,1
173,12/10/21,00:34:30,Cooling,1
174,12/10/21,00:37:53,Heat Ex Comp,0
175,12/10/21,00:39:21,pH Pump,1
176,12/10/21,00:39:41,pH Pump,0
177,12/10/21,00:42:42,Effulent Coil,1
178,12/10/21,00:43:21,pH Pump,1
179,12/10/21,00:43:41,pH Pump,0
180,12/10/21,00:47:21,pH Pump,1
181,12/10/21,00:47:41,pH Pump,0
182,12/10/21,00:49:06,Heat Ex Comp,1
183,12/10/21,00:49:06,Cooling,1
184,12/10/21,00:51:18,Effulent Coil,0
185,12/10/21,00:51:21,pH Pump,1
186,12/10/21,00:51:41,pH Pump,0
187,12/10/21,00:52:20,Heat Ex Comp,0
188,12/10/21,00:55:21,pH Pump,1
189,12/10/21,00:55:41,pH Pump,0
190,12/10/21,00:59:21,pH Pump,1
191,12/10/21,00:59:23,pH Pump,0
192,12/10/21,01:03:53,Heat Ex Comp,1
193,12/10/21,01:03:53,Cooling,1
194,12/10/21,01:07:17,Heat Ex Comp,0
195,12/10/21,01:16:47,Cooling,1
196,12/10/21,01:17:17,Heat Ex Comp,1
197,12/10/21,01:20:37,Heat Ex Comp,0
198,12/10/21,01:32:47,Heat Ex Comp,1
199,12/10/21,01:32:47,Cooling,1
200,12/10/21,01:36:15,Heat Ex Comp,0
201,12/10/21,01:46:13,Cooling,1
202,12/10/21,01:46:15,Heat Ex Comp,1
203,12/10/21,01:49:40,Heat Ex Comp,0
204,12/10/21,02:01:53,Heat Ex Comp,1
205,12/10/21,02:01:53,Cooling,1
206,12/10/21,02:05:20,Heat Ex Comp,0
207,12/10/21,02:15:11,Cooling,1
208,12/10/21,02:15:20,Heat Ex Comp,1
209,12/10/21,02:18:42,Heat Ex Comp,0
210,12/10/21,02:22:42,Effulent Coil,1
211,12/10/21,02:31:05,Heat Ex Comp,1
212,12/10/21,02:31:05,Cooling,1
213,12/10/21,02:31:18,Effulent Coil,0
214,12/10/21,02:34:29,Heat Ex Comp,0
215,12/10/21,02:43:14,Cooling,1
216,12/10/21,02:44:29,Heat Ex Comp,1
217,12/10/21,02:48:09,Heat Ex Comp,0
218,12/10/21,02:59:36,Heat Ex Comp,1
219,12/10/21,02:59:36,Cooling,1
220,12/10/21,03:03:05,Heat Ex Comp,0
221,12/10/21,03:13:53,Heat Ex Comp,1
222,12/10/21,03:13:53,Cooling,1
223,12/10/21,03:17:27,Heat Ex Comp,0
224,12/10/21,03:28:57,Heat Ex Comp,1
225,12/10/21,03:28:57,Cooling,1
226,12/10/21,03:32:26,Heat Ex Comp,0
227,12/10/21,03:43:50,Heat Ex Comp,1
228,12/10/21,03:43:50,Cooling,1
229,12/10/21,03:47:20,Heat Ex Comp,0
230,12/10/21,03:58:44,Heat Ex Comp,1
231,12/10/21,03:58:44,Cooling,1
232,12/10/21,04:02:06,Heat Ex Comp,0
233,12/10/21,04:02:42,Effulent Coil,1
234,12/10/21,04:11:19,Effulent Coil,0
235,12/10/21,04:13:25,Heat Ex Comp,1
236,12/10/21,04:13:25,Cooling,1
237,12/10/21,04:16:54,Heat Ex Comp,0
