Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,03/09/21,06:10:03,8.3,23.3,7.64,795,15,0
1,03/09/21,06:11:03,8.3,23.1,7.64,794,15,0
2,03/09/21,06:12:03,8.3,22.9,7.64,794,15,0
3,03/09/21,06:13:03,8.4,23.1,7.64,794,15,0
4,03/09/21,06:14:03,8.3,23.2,7.64,795,15,0
5,03/09/21,06:15:03,8.3,23.3,7.64,797,15,0
6,03/09/21,06:16:03,8.3,23.4,7.64,797,15,0
7,03/09/21,06:17:03,8.3,23.4,7.64,797,15,0
8,03/09/21,06:18:03,8.4,23.4,7.64,797,15,0
9,03/09/21,06:19:03,8.4,23.4,7.64,797,16,0
10,03/09/21,06:20:03,8.4,23.4,7.64,798,15,0
11,03/09/21,06:21:03,8.4,23.5,7.64,797,15,0
12,03/09/21,06:22:03,8.3,23.5,7.64,797,15,0
13,03/09/21,06:23:03,8.4,23.2,7.64,795,15,0
14,03/09/21,06:24:03,8.4,23,7.64,794,15,0
15,03/09/21,06:25:04,8.4,22.9,7.64,795,15,0
16,03/09/21,06:26:03,8.4,23.1,7.64,795,15,0
17,03/09/21,06:27:03,8.4,23.3,7.64,795,16,0
18,03/09/21,06:28:04,8.4,23.3,7.64,797,16,0
19,03/09/21,06:29:04,8.4,23.4,7.64,797,16,0
20,03/09/21,06:30:03,8.4,23.4,7.64,797,15,0
21,03/09/21,06:31:04,8.4,23.4,7.64,797,15,0
22,03/09/21,06:32:04,8.4,23.4,7.64,798,15,0
23,03/09/21,06:33:03,8.4,23.5,7.64,798,15,0
24,03/09/21,06:34:04,8.4,23.5,7.64,797,15,0
25,03/09/21,06:35:04,8.4,23.5,7.64,797,15,0
26,03/09/21,06:36:03,8.4,23.2,7.64,795,15,0
27,03/09/21,06:37:04,8.4,23,7.61,795,16,0
28,03/09/21,06:38:04,8.4,22.9,7.64,794,15,0
29,03/09/21,06:39:04,8.4,23.1,7.64,796,15,0
30,03/09/21,06:40:04,8.4,23.3,7.64,795,16,0
31,03/09/21,06:41:04,8.4,23.3,7.64,797,15,0
32,03/09/21,06:42:04,8.4,23.4,7.64,797,15,0
33,03/09/21,06:43:04,8.4,23.4,7.64,797,15,0
34,03/09/21,06:44:04,8.4,23.4,7.64,797,15,0
35,03/09/21,06:45:04,8.4,23.4,7.61,797,15,0
36,03/09/21,06:46:04,8.4,23.5,7.64,797,16,0
37,03/09/21,06:47:04,8.4,23.4,7.62,797,15,0
38,03/09/21,06:48:04,8.4,23.5,7.61,797,15,0
39,03/09/21,06:49:04,8.4,23.2,7.64,796,15,0
40,03/09/21,06:50:04,8.4,23,7.64,797,16,0
41,03/09/21,06:51:04,8.4,23,7.62,795,15,0
42,03/09/21,06:52:04,8.4,23.2,7.64,795,16,0
43,03/09/21,06:53:04,8.4,23.3,7.64,795,15,0
44,03/09/21,06:54:04,8.4,23.3,7.64,797,15,0
45,03/09/21,06:55:04,8.4,23.4,7.64,797,15,0
46,03/09/21,06:56:04,8.4,23.4,7.61,797,15,0
47,03/09/21,06:57:04,8.4,23.4,7.64,797,15,0
48,03/09/21,06:58:04,8.4,23.4,7.61,797,15,0
49,03/09/21,06:59:04,8.4,23.4,7.61,797,15,0
50,03/09/21,07:00:04,8.4,23.5,7.62,797,15,0
51,03/09/21,07:01:04,8.4,23.4,7.64,797,15,0
52,03/09/21,07:02:04,8.4,23.2,7.62,797,15,0
53,03/09/21,07:03:04,8.4,23,7.61,795,15,0
54,03/09/21,07:04:04,8.4,23,7.61,794,15,0
55,03/09/21,07:05:04,8.4,23.2,7.64,795,16,0
56,03/09/21,07:06:04,8.5,23.3,7.62,797,15,0
57,03/09/21,07:07:04,8.5,23.3,7.62,797,16,0
58,03/09/21,07:08:04,8.5,23.4,7.64,798,15,0
59,03/09/21,07:09:04,8.4,23.4,7.64,797,15,0
60,03/09/21,07:10:04,8.4,23.4,7.62,797,15,0
61,03/09/21,07:11:04,8.5,23.4,7.61,797,15,0
62,03/09/21,07:12:04,8.4,23.4,7.62,797,15,0
63,03/09/21,07:13:04,8.4,23.5,7.61,797,15,0
64,03/09/21,07:14:05,8.4,23.4,7.61,797,15,0
65,03/09/21,07:15:04,8.4,23.2,7.62,796,15,0
66,03/09/21,07:16:04,8.4,23,7.62,794,15,0
67,03/09/21,07:17:05,8.4,23,7.62,794,15,0
68,03/09/21,07:18:04,8.4,23.2,7.62,795,15,0
69,03/09/21,07:19:04,8.4,23.3,7.61,797,15,0
70,03/09/21,07:20:05,8.4,23.3,7.61,797,16,0
71,03/09/21,07:21:04,8.4,23.4,7.62,797,15,0
72,03/09/21,07:22:04,8.4,23.4,7.61,797,16,0
73,03/09/21,07:23:05,8.4,23.4,7.62,797,15,0
74,03/09/21,07:24:05,8.4,23.4,7.61,797,16,0
75,03/09/21,07:25:04,8.4,23.5,7.61,797,15,0
76,03/09/21,07:26:05,8.4,23.5,7.61,798,15,0
77,03/09/21,07:27:05,8.4,23.4,7.61,797,15,0
78,03/09/21,07:28:04,8.4,23.2,7.62,797,15,0
79,03/09/21,07:29:05,8.5,23,7.61,795,15,0
80,03/09/21,07:30:05,8.4,23,7.61,794,15,0
81,03/09/21,07:31:04,8.5,23.2,7.61,795,15,0
82,03/09/21,07:32:05,8.4,23.3,7.61,797,16,0
83,03/09/21,07:33:05,8.3,23.3,7.61,798,15,0
84,03/09/21,07:34:04,8.2,23.4,7.62,797,16,0
85,03/09/21,07:35:05,8.2,23.4,7.61,797,15,0
86,03/09/21,07:36:05,8.2,23.4,7.61,797,15,0
87,03/09/21,07:37:05,8.2,23.5,7.61,797,15,0
88,03/09/21,07:38:05,8.2,23.5,7.61,797,16,0
89,03/09/21,07:39:05,8.2,23.5,7.61,797,16,0
90,03/09/21,07:40:05,8.2,23.4,7.62,795,15,0
91,03/09/21,07:41:05,8.2,23.2,7.61,794,16,0
92,03/09/21,07:42:05,8.2,23,7.62,792,15,0
93,03/09/21,07:43:05,8.2,23.1,7.61,791,15,0
94,03/09/21,07:44:05,8.2,23.2,7.61,793,15,0
95,03/09/21,07:45:05,8.2,23.3,7.61,798,15,0
96,03/09/21,07:46:05,8.2,23.4,7.62,800,15,0
97,03/09/21,07:47:05,8.3,23.4,7.62,805,15,0
98,03/09/21,07:48:05,8.3,23.4,7.61,805,15,0
99,03/09/21,07:49:05,8.3,23.4,7.62,804,15,0
100,03/09/21,07:50:05,8.3,23.5,7.61,803,16,0
101,03/09/21,07:51:05,8.3,23.5,7.61,802,15,0
102,03/09/21,07:52:05,8.3,23.5,7.61,802,16,0
103,03/09/21,07:53:05,8.3,23.3,7.62,801,15,0
104,03/09/21,07:54:05,8.3,23.1,7.62,800,15,0
105,03/09/21,07:55:05,8.3,23,7.61,798,15,0
106,03/09/21,07:56:05,8.4,23,7.61,798,15,0
107,03/09/21,07:57:05,8.3,23.2,7.61,798,15,0
108,03/09/21,07:58:05,8.4,23.3,7.61,800,15,0
109,03/09/21,07:59:05,8.4,23.4,7.61,800,15,0
110,03/09/21,08:00:05,8.4,23.4,7.61,800,16,0
111,03/09/21,08:01:05,8.4,23.4,7.61,799,15,0
112,03/09/21,08:02:05,8.4,23.4,7.61,800,15,0
113,03/09/21,08:03:05,8.4,23.4,7.61,800,15,0
114,03/09/21,08:04:05,8.4,23.5,7.61,800,15,0
115,03/09/21,08:05:05,8.4,23.5,7.61,800,15,0
116,03/09/21,08:06:05,8.4,23.4,7.61,799,15,0
117,03/09/21,08:07:05,8.4,23.1,7.61,798,16,0
118,03/09/21,08:08:05,8.4,23,7.61,798,16,0
119,03/09/21,08:09:05,8.4,23,7.62,797,16,0
120,03/09/21,08:10:05,8.4,23.2,7.61,798,16,0
121,03/09/21,08:11:06,8.4,23.3,7.61,801,15,0
122,03/09/21,08:12:05,8.4,23.3,7.61,800,15,0
123,03/09/21,08:13:05,8.4,23.4,7.61,801,15,0
124,03/09/21,08:14:06,8.4,23.4,7.62,799,15,0
125,03/09/21,08:15:05,8.4,23.4,7.61,800,16,0
126,03/09/21,08:16:05,8.4,23.4,7.61,800,16,0
127,03/09/21,08:17:06,8.4,23.4,7.61,800,15,0
128,03/09/21,08:18:05,8.4,23.5,7.61,798,15,0
129,03/09/21,08:19:05,8.4,23.4,7.61,799,15,0
130,03/09/21,08:20:06,8.4,23.1,7.61,798,15,0
131,03/09/21,08:21:05,8.4,23,7.61,798,15,0
132,03/09/21,08:22:06,8.4,23,7.61,797,15,0
133,03/09/21,08:23:06,8.4,23.2,7.62,798,15,0
134,03/09/21,08:24:06,8.4,23.3,7.61,800,15,0
135,03/09/21,08:25:06,8.4,23.3,7.62,800,16,0
136,03/09/21,08:26:06,8.4,23.4,7.61,800,15,0
137,03/09/21,08:27:06,8.5,23.4,7.61,800,15,0
138,03/09/21,08:28:05,8.4,23.4,7.61,800,15,0
139,03/09/21,08:29:06,8.4,23.4,7.59,800,15,0
140,03/09/21,08:30:06,8.5,23.5,7.61,800,16,0
141,03/09/21,08:31:06,8.4,23.5,7.61,799,15,0
142,03/09/21,08:32:06,8.4,23.3,7.59,799,15,0
143,03/09/21,08:33:06,8.4,23.1,7.59,798,16,0
144,03/09/21,08:34:06,8.4,23,7.62,797,15,0
145,03/09/21,08:35:06,8.4,23,7.59,797,15,0
146,03/09/21,08:36:06,8.4,23.2,7.61,801,15,0
147,03/09/21,08:37:06,8.4,23.3,7.61,800,15,0
148,03/09/21,08:38:06,8.4,23.3,7.61,800,16,0
149,03/09/21,08:39:06,8.4,23.4,7.59,800,16,0
