Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,03/01/21,14:24:53,12.3,24.3,7.56,813,15,0
1,03/01/21,14:25:53,12.3,24.4,7.53,813,15,0
2,03/01/21,14:26:53,12.3,24.4,7.53,812,15,0
3,03/01/21,14:27:53,12.3,24.3,7.53,812,15,0
4,03/01/21,14:28:53,12.3,24.2,7.51,810,15,0
5,03/01/21,14:29:53,12.3,24.1,7.5,810,15,0
6,03/01/21,14:30:53,12.3,23.9,7.51,809,15,0
7,03/01/21,14:31:53,12.3,23.8,7.51,811,15,0
8,03/01/21,14:32:53,12.3,23.6,7.51,810,15,0
9,03/01/21,14:33:53,12.1,23.4,7.53,810,15,0
10,03/01/21,14:34:53,11.8,23,7.53,809,15,0
11,03/01/21,14:35:53,11.5,22.7,7.53,811,15,0
12,03/01/21,14:36:53,11.2,22.4,7.56,811,15,0
13,03/01/21,14:37:53,8.4,21,7.59,812,15,0
14,03/01/21,14:38:53,7.4,20.9,7.61,811,15,0
15,03/01/21,14:39:53,7.5,21.7,7.64,815,16,0
16,03/01/21,14:40:53,7.6,22.2,7.64,820,15,0
17,03/01/21,14:41:53,7.8,22.5,7.7,822,15,0
18,03/01/21,14:42:53,8,22.6,7.7,820,15,0
19,03/01/21,14:43:53,8,22.7,7.7,818,15,0
20,03/01/21,14:44:53,8,22.8,7.7,816,15,0
21,03/01/21,14:45:53,8,22.8,7.67,815,15,0
22,03/01/21,14:46:53,8,23.1,7.67,813,15,0
23,03/01/21,14:47:53,8.1,23.1,7.64,813,15,0
24,03/01/21,14:48:53,8.1,23.1,7.64,812,15,0
25,03/01/21,14:49:53,8.2,23,7.62,812,15,0
26,03/01/21,14:50:53,8.1,23,7.62,811,15,0
27,03/01/21,14:51:54,8.2,23,7.62,811,15,0
28,03/01/21,14:52:53,8.2,23,7.61,811,15,0
29,03/01/21,14:53:53,8.2,23,7.62,811,15,0
30,03/01/21,14:54:54,8.2,23,7.61,810,15,0
31,03/01/21,14:55:54,8.2,23.1,7.61,812,15,0
32,03/01/21,14:56:53,8.2,23.1,7.62,811,15,0
33,03/01/21,14:57:53,8.2,23.1,7.62,811,15,0
34,03/01/21,14:58:54,8.2,23.1,7.61,811,15,0
35,03/01/21,14:59:54,8.2,23.1,7.61,812,15,0
36,03/01/21,15:00:53,8.2,23.1,7.62,811,15,0
37,03/01/21,15:01:53,8.2,23.1,7.61,811,15,0
38,03/01/21,15:02:54,8.2,23.2,7.59,811,16,0
39,03/01/21,15:03:54,8.2,23.2,7.59,812,15,0
40,03/01/21,15:04:54,8.2,23.2,7.59,812,15,0
41,03/01/21,15:05:53,8.2,23.2,7.62,811,15,0
